name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,position,FDR_Average
Antony,6.0,Man Utd,1,1,2,15,1311,47,1.6,7.833,MID,2.4912280701754375
B.Fernandes,8.5,Man Utd,10,9,19,35,3118,166,4.7,19.53,MID,2.4912280701754375
Casemiro,5.0,Man Utd,1,3,4,24,1981,58,2.3,11.6,MID,2.4912280701754375
Dalot,5.0,Man Utd,2,3,5,35,3174,111,3.1,22.2,DEF,2.4912280701754375
Eriksen,5.5,Man Utd,1,2,3,12,1134,48,2.2,8.727,MID,2.4912280701754375
Evans,4.5,Man Utd,0,1,1,15,1389,49,2.1,10.89,DEF,2.4912280701754375
Garnacho,6.5,Man Utd,7,7,14,30,2564,131,3.6,20.15,MID,2.4912280701754375
Hannibal,4.5,Man Utd,1,0,1,1,131,11,2.2,2.444,MID,2.4912280701754375
Højlund,7.0,Man Utd,10,2,12,25,2156,112,3.7,16.0,FWD,2.4912280701754375
Lindelof,4.5,Man Utd,1,1,2,14,1328,62,3.3,13.78,DEF,2.4912280701754375
Maguire,5.0,Man Utd,2,4,6,18,1650,73,3.3,14.6,DEF,2.4912280701754375
Mainoo,5.5,Man Utd,3,1,4,24,1927,77,3.2,14.0,MID,2.4912280701754375
Martinez,4.5,Man Utd,0,1,1,8,643,15,1.4,3.333,DEF,2.4912280701754375
McTominay,5.0,Man Utd,7,1,8,18,1891,98,3.1,19.6,MID,2.4912280701754375
Mount,6.5,Man Utd,1,0,1,5,509,23,1.6,3.538,MID,2.4912280701754375
Onana,5.0,Man Utd,0,0,0,38,3420,133,3.5,26.6,GK,2.4912280701754375
